textID,selected_text,sentiment,positive,negative,neutral
4c41a35a2a,happy mothers day mums,positive,1,0,0
61a8e11e8a,freaked,negative,0,1,0
447dc22c81,unfortunately,negative,0,1,0
3408db03a3,gonna read story bout adam lambert online bed nighty night,neutral,0,0,1
92e1b6846e,best,positive,1,0,0
2207d982bc,pretty,positive,1,0,0
15e01e1749,certainly cheers huh,neutral,0,0,1
ebcdf07ac5,horrible,negative,0,1,0
fd9fb4f1ad,busy,negative,0,1,0
6b018d3d2d,awesome,positive,1,0,0
327a009a7d,least get watch time lets go pens,neutral,0,0,1
d0d3c6f298,cool wear black time go,neutral,0,0,1
40649553ef,thanks,positive,1,0,0
561b44a42f,safe,positive,1,0,0
a05aea73d7,wish allowed go,positive,1,0,0
9c4817f73b,u friendster add email adress add lococrime1stcom add,neutral,0,0,1
f0c1601d8b,tickets,neutral,0,0,1
d421fbd332,thank,positive,1,0,0
99b7ec4b0b,acsm unfathomable think one one kept comfort bedrooms yes,neutral,0,0,1
a655fbb5eb,love,positive,1,0,0
43e9a93104,dont feel confident,negative,0,1,0
401869d615,sad,negative,0,1,0
9843c4688e,hahaa awesomee,positive,1,0,0
87fbf14655,awesomeeeee,positive,1,0,0
22d1806fa0,hate fallout 3 keeps making jump im also low health money ammo food dont worry ill get,neutral,0,0,1
9d2cffd953,itunes lost songs,neutral,0,0,1
f78761f7ec,whats gloomy weather sun must tired come play heading victoria gardens impulse buys haha,neutral,0,0,1
66057d58c2,looking forward,negative,0,1,0
af90ad5989,poor,negative,0,1,0
f0460d611d,well,negative,0,1,0
6649f3558c,prob,positive,1,0,0
24532ab83c,dads watching mtv going sims2 minutee,neutral,0,0,1
8e1583cb08,absolutely,neutral,0,0,1
4ea61dbc7a,whats matter chickadee,neutral,0,0,1
94f67cfa6d,adore,positive,1,0,0
29dfaf5e3b,good,positive,1,0,0
974b35f889,love,positive,1,0,0
b495300bbf,painful,negative,0,1,0
504539e6ec,sad,negative,0,1,0
6903cb08f2,e nice,positive,1,0,0
1996048e7a,wish,positive,1,0,0
c6d0c7676c,namaskar namaste r marathi people say namaskar marathi word naaaah,neutral,0,0,1
ef74bab7f3,congrats cuss like matter minutes didnt know reward,neutral,0,0,1
f3cf8ec01b,humous doritos oh yes,neutral,0,0,1
cb1b0d191d,missed awesome weather,negative,0,1,0
3e67a75303,today going normal day hope group pilots large airline come last night much drink,neutral,0,0,1
997a62f83f,terrible,negative,0,1,0
7e1757d4f0,unfortunatley,negative,0,1,0
254546cd2c,sucks tho,negative,0,1,0
7e4ed52c4a,hate fighting,negative,0,1,0
5069ae7a15,watched didnt want win put good fightlol,neutral,0,0,1
48cdcd5f28,carwarmed sprite tastes like sore throat,negative,0,1,0
1b1b02af59,came 11th cross country beat dumbo,neutral,0,0,1
ae71041e21,enjoyable,positive,1,0,0
11c10e3fc5,endearing,positive,1,0,0
19526ac03e,tomorrow valerias lunch going get hair done im arraving late got cousins babtizm whatever spell,neutral,0,0,1
960bbdc0c3,goooooddd morning tweets,positive,1,0,0
fd285fe74a,hate,negative,0,1,0
a5a1c996c0,fine,positive,1,0,0
20ec7c7c32,dont like ones,negative,0,1,0
b948984e8d,mmmmmmmm morning,neutral,0,0,1
6824c44c21,neither,neutral,0,0,1
02d140362f,10 hours work sunday boo find time two hour lunchbreak though yeah,neutral,0,0,1
5f93cc70ff,bugger forgot still washing machine,negative,0,1,0
4e6a5c0034,sending love blessings healing thoughts family peace,positive,1,0,0
e4e9b8713a,really bad,negative,0,1,0
08975f62a8,ah yes know feeling,neutral,0,0,1
4a1ce7dc3b,night cookers dad,neutral,0,0,1
328a0e76bd,brutal,negative,0,1,0
abbd0db2a5,nope coquitlam,neutral,0,0,1
940eb93dd5,boring,negative,0,1,0
c78bf59e67,p sounds like fun,positive,1,0,0
e73425ffdc,big booming thunder storm almost maybe go home early ah probably,neutral,0,0,1
e56eeb4968,great,positive,1,0,0
7162d447ab,excited,positive,1,0,0
f3d95b57b1,good morning,positive,1,0,0
5e4eac2b2e,best show ever,positive,1,0,0
bc02870b7d,messed,negative,0,1,0
80e45e833f,think iv hurt tooth eilish cassie drawing competiton draw cookies pineapples haha l,neutral,0,0,1
f29df52d91,want know auditions mander text orreply please,neutral,0,0,1
079e4e3472,secret namerebecca please,negative,0,1,0
557e676fe4,miss,negative,0,1,0
8d09044937,need get computer fixed,neutral,0,0,1
9d3a1e0269,illness,negative,0,1,0
7ff2dbbe25,cool people want find following today english guess english dont tweet,neutral,0,0,1
5a254fbb98,siri woulda put honeybut dont,neutral,0,0,1
417176c08e,totally loved,positive,1,0,0
2bf5c7dba7,3 u helped thru hrdest time life,positive,1,0,0
8407ac30b0,sad,negative,0,1,0
6ed347b1a5,finally got call marriage counseling 3 days late,neutral,0,0,1
97625460cf,ok,neutral,0,0,1
32e4ffe225,baby,neutral,0,0,1
24ee55f264,sick,negative,0,1,0
82b75647fd,impromptu pool party except dont know swim cant get,neutral,0,0,1
a0a306868a,oww,negative,0,1,0
9b11b686ec,happy 1 year 3,positive,1,0,0
7e7bc11e45,goooooooooooood morrrrrrrrning,positive,1,0,0
28dbada620,phew make note case anyone else runs issueã£â¯ã¢â¿ã¢â½,neutral,0,0,1
3e880ec28d,vote every day,negative,0,1,0
38271074d1,diet killing,negative,0,1,0
ef12a3d183,talk,neutral,0,0,1
f0db54f5bf,bored,negative,0,1,0
e651d415c6,e fun,positive,1,0,0
931a866d3f,far good sleep 4 hours getting bit twitchy,neutral,0,0,1
7a718b23ef,whats twatter lately either cant get replies dont turn,neutral,0,0,1
a6fccce9db,lost voice,negative,0,1,0
c017d0c221,hate,negative,0,1,0
287755c5dd,ive heard fall im waiting,neutral,0,0,1
58c435d2cf,nightmares huggles,neutral,0,0,1
e6ee6826df,creeper feel disappointed cyberstalking skills internet privacy,negative,0,1,0
01b2476dd7,headache,negative,0,1,0
e02cf4af4c,happy,positive,1,0,0
2dc0dc0d5d,grabbing coffee making mom breakfast,neutral,0,0,1
1b13ed8b4b,going fun,positive,1,0,0
b6b35af246,thanks major chop,neutral,0,0,1
375e74d063,thank,positive,1,0,0
4700be3234,got updated ipod,neutral,0,0,1
e5c6a6bb5a,hahaha,positive,1,0,0
4f84bea1cc,crush,positive,1,0,0
4c73ad2888,saw james carville store today head really bald,neutral,0,0,1
2dcd8766a8,yellow,neutral,0,0,1
234093bef1,means youre going come back vancouver way hahah,neutral,0,0,1
ca832cad51,feeling smooth,positive,1,0,0
a8734230b6,ew traffic,negative,0,1,0
0b5c2a7d7c,downloading songs trying sneak lil homework main priority songs lol,neutral,0,0,1
e70d294d95,alonei need coffee,neutral,0,0,1
f84b89a828,sounds like,neutral,0,0,1
ee37bea884,bad day day realize mess youve put one happiest days life,neutral,0,0,1
242d92151a,hate bike,negative,0,1,0
f3a77c2b5e,nesmith,neutral,0,0,1
1d6411e9dd,worse taxes,negative,0,1,0
151c10cc39,jonas brothers live party rocking hard,positive,1,0,0
7b1927e748,happy,positive,1,0,0
9a6f4d05d5,would love test though,positive,1,0,0
0cb4504f2c,fun night,positive,1,0,0
ae21c1ac38,exception short dude larenz fineass tate yum,neutral,0,0,1
8f3e73cf09,thought wolverine awesome,positive,1,0,0
c7489a23fa,hopefully,positive,1,0,0
148ac38bea,yes work 6 3,neutral,0,0,1
641555ac70,hmmm maybe thats meant eluded something brand new know media,neutral,0,0,1
4bda359cbb,done spa meeting vic late lunch,neutral,0,0,1
ed084a1fa7,happy,positive,1,0,0
1af124bc1c,always wanted go oz,neutral,0,0,1
e98226e842,thx,neutral,0,0,1
85ec413e54,luv,positive,1,0,0
7df7221145,thats need,positive,1,0,0
0ab8f9c4bc,okay im dedicating 300th tweet fact im going apple store huge crack glass screen,neutral,0,0,1
06cad97de6,could ever actually allowed stay,neutral,0,0,1
37f6bd5ac5,let know turns,neutral,0,0,1
9bef0d7135,sass detect long isnt back sass haha,neutral,0,0,1
7436ec1a2c,ahaha,positive,1,0,0
cf10e9309a,sports bar shatranjanpoli rest ph 26498457 sports bar andheri w 26733333 dont know whether helps google ki jai ho,neutral,0,0,1
ce69e99e71,im sleeping un,negative,0,1,0
6402e14398,seriously,negative,0,1,0
914c40995f,live pain bring,neutral,0,0,1
258f37341e,okay im back later,neutral,0,0,1
77ba0fee75,g powerblog challenge keep talking im newbie followe,neutral,0,0,1
96a4ce0d47,died,positive,1,0,0
5bcc50c275,waiting tish get got drive moms crv pick duckie first time,neutral,0,0,1
c5645758be,going well,negative,0,1,0
7e3c091fc2,going shower dont want smell school tomorrow,neutral,0,0,1
869bb56451,sigh know,neutral,0,0,1
09ad12cc5c,hopefully,positive,1,0,0
251aa82551,4 free twitter tools get followers,neutral,0,0,1
8e0a0ffbe1,got home work chugging big bottle apple juice,neutral,0,0,1
799f65f193,g harmed,negative,0,1,0
d06582e26d,amazing day,positive,1,0,0
dbe1d16b29,big brotherand im done,neutral,0,0,1
7809dd704a,good news finally finished easactive workout paused 6 hours bad news resistance band torn,neutral,0,0,1
97334eb7c0,well good morning wonderful day neighborhood thanks following another 60 morning,positive,1,0,0
e1546f901a,amazing tonight,positive,1,0,0
2ece7f3810,hope,positive,1,0,0
ba309a37d1,hurts much,positive,1,0,0
84ca20505a,waited listening wind blowing tumbleweed none old enough know someone says crackerack,neutral,0,0,1
de8c4c410d,hell yeah,neutral,0,0,1
e33d5ceea2,shirt dinner need ask actually ville,neutral,0,0,1
394881b7d0,know,neutral,0,0,1
52d8be9124,huh smelly noooo love alex vixon,neutral,0,0,1
dabe649ee3,great,positive,1,0,0
2a5bb8d827,happy bday,positive,1,0,0
dbbbbe6059,thank,positive,1,0,0
894e188d01,happy,positive,1,0,0
a91ca2ffae,glad,positive,1,0,0
89d5b3f0b5,thanks,positive,1,0,0
fe0abe1754,twittering 2 days,neutral,0,0,1
1b6380b1b3,nice,positive,1,0,0
02c004bc2d,depressed,negative,0,1,0
b4d5f1e13e,sick,negative,0,1,0
80481307d5,happy mothers day people love mom lot still,positive,1,0,0
05a0e60f99,sorry,negative,0,1,0
e3cc598980,soooo friendly,positive,1,0,0
a2cf6cc397,happy,positive,1,0,0
53e78f3f89,getting hang twitter,neutral,0,0,1
ba83f744d8,know neck jacked forced pay parking bc cant turn head parallel park free spaces,negative,0,1,0
2dd0cddb70,want back,neutral,0,0,1
e3a1b65ef3,miss,negative,0,1,0
7ae37ef593,bathing two little angels keyla janice,neutral,0,0,1
73fa7068a2,chocked,negative,0,1,0
f5b15be6f6,hahahha lol true always remember bd never remember date even day,neutral,0,0,1
68bda81bb9,family herehanging,neutral,0,0,1
59e77db781,gorgeous,positive,1,0,0
e3731b6ce8,worried,negative,0,1,0
b09362ee8e,im bannished,negative,0,1,0
c4f9792d55,morning get see ill let know right im going go see wolverine,neutral,0,0,1
20d4300a14,red top tabloids build em knock em,neutral,0,0,1
7b69f49c42,tonight party w girls minus vita,positive,1,0,0
519a5d3be7,made sad thought youd jumping joy,neutral,0,0,1
aa97eca66f,simple,neutral,0,0,1
d3230b7cfd,pics uploaded baby pics cats missy adult pretty little kitty batty kitten heaven,neutral,0,0,1
294df18b9f,amazing,positive,1,0,0
e5e2d9d1f3,glad,positive,1,0,0
b7a9ba95d0,missed,negative,0,1,0
6943d0f480,live thats want better bound bad eggs though soon learn,neutral,0,0,1
9e047ed52a,hell yeah kellynn got twitter finally,neutral,0,0,1
a54d3c2825,wort,positive,1,0,0
5b578d0b4c,better,positive,1,0,0
c4ab28566e,ship im stuck,negative,0,1,0
162a2510d2,cannot wait,positive,1,0,0
c25871ec9e,shame,negative,0,1,0
ddd4dd7be4,looks like office tv get mlb network looks like mlbn televising detbal game today wieters,neutral,0,0,1
d2af698d65,home empty handed comics found today shall indulge cupcakes magnolia bakery,neutral,0,0,1
1594011c6d,definitely pinched nerve,negative,0,1,0
bb61a7094b,exhausting,negative,0,1,0
454ea2153b,going go sunday ive got much going weekend,neutral,0,0,1
b5dd587dd2,sorry,negative,0,1,0
e5160216a5,im sad hurts,negative,0,1,0
ea3320d696,get distracted id like thank new followers taking trouble follow others feelin love,positive,1,0,0
5680a0b488,im broke,negative,0,1,0
ed6c2e4824,sure didnt say 2 big jst saw pics u ur last bday looked pretty miss,neutral,0,0,1
a8f2acd515,sore throat planning tet outing marwell thoughgood times,neutral,0,0,1
e9f7f78cfa,amazin,positive,1,0,0
4c71b5fb91,migraine,negative,0,1,0
0404648e1c,sucks,negative,0,1,0
e136c0f2af,whens sway sway winner announced,neutral,0,0,1
032e865dc7,k check,neutral,0,0,1
d723ea3299,pretty well,positive,1,0,0
3d208b8e59,want wake early get coffee tomorrow today going busyy day keep writing booo whoo,neutral,0,0,1
f1f5e8edfa,miss daddy mommy,negative,0,1,0
51f4502988,officially depressed,negative,0,1,0
728c29215f,realized cant forward text msgs iphone,neutral,0,0,1
c9091836ce,exciting,positive,1,0,0
9668542b2a,sucks,negative,0,1,0
cd5d081760,bored,negative,0,1,0
061eb4c0de,lost,negative,0,1,0
c20cb786c4,peter gordon morning go pieces wanna hide go pieces almost die ever,neutral,0,0,1
7733e8541a,bad,negative,0,1,0
58eda20efc,lmao smh one threw,neutral,0,0,1
2f5c77dfb3,oh nice going,positive,1,0,0
4646623c1d,getting ready work working weekend,neutral,0,0,1
a97db072ed,partying,positive,1,0,0
f3117413cc,agree,positive,1,0,0
59cb0c3a14,hopeless everything else,negative,0,1,0
322b61740c,perfect,positive,1,0,0
7179c215a7,thanks,positive,1,0,0
1f581d48bc,sorry,negative,0,1,0
c42982a22d,saw amazing heeels big,neutral,0,0,1
9191e574bb,stuck,negative,0,1,0
f4e428e4b3,dang,negative,0,1,0
1ee0b44db0,missed ur tweets,negative,0,1,0
4095d52d2d,damnit sucks,negative,0,1,0
4491189459,boss shes moving nyc,neutral,0,0,1
e8be898842,sooo crazy,negative,0,1,0
9b388b2cd9,stupid,negative,0,1,0
3d1238a2f0,think need new friends,neutral,0,0,1
98ff5a440e,looking forward gig ireland see ya,neutral,0,0,1
b94aaf845e,please,positive,1,0,0
95d0ad2e17,aww loooove,positive,1,0,0
b8e58e1a21,hungry twitter want food,neutral,0,0,1
39923bb286,awesome lucky,positive,1,0,0
b751f39570,yea know tell everything ps send direct messages telling ha,neutral,0,0,1
c1b915d1d5,love,positive,1,0,0
f38f53fbde,great time beer garden wit boyos think sun got bit though feel bit ill,neutral,0,0,1
c2a17084e9,fun,negative,0,1,0
3848e03ac5,u really dont think maybe ur rightlol btw phone u using think u told b4i might app,neutral,0,0,1
356ad29589,feel pain,negative,0,1,0
3696d1db81,comes home two days,neutral,0,0,1
81e6c0ac2d,sadly,negative,0,1,0
12cfc10225,cant wait,positive,1,0,0
9f51c335d0,ehhh check dentist app next week though getting molar pulledroot canal,neutral,0,0,1
81e29d1a0b,aww miss driving,negative,0,1,0
3773846bc3,omg wango tango awsome love baby taking,positive,1,0,0
6f3818a39e,cool,positive,1,0,0
2e6ee964a4,wish,positive,1,0,0
759b899f29,yeah real hard know youll get smile,neutral,0,0,1
12da1098a2,thats good,negative,0,1,0
38e44e0f32,made night way funny,positive,1,0,0
b534d768ca,happy,positive,1,0,0
c422db675c,make face get home mom watching soaps,neutral,0,0,1
a34bf825fc,go work,neutral,0,0,1
dbc45af041,cant believe went got boba without,neutral,0,0,1
018c0cf1f9,today,neutral,0,0,1
7e820f005a,thanks,positive,1,0,0
e839d6a472,19 days counting,neutral,0,0,1
a210eda5c9,sorry friends,negative,0,1,0
47990d2312,brainfreeze,neutral,0,0,1
340600d483,discovered shortcoming gravity use twitpic integrated doesnt subtract pic url 140 character limit,neutral,0,0,1
5fcf7bd80c,sunburn peeling,negative,0,1,0
9e964bdfda,perky purple nail polish isnt perky chipped,neutral,0,0,1
3d635198c2,put camera smokers pit longer vandalize door without caught,neutral,0,0,1
bba9d463f4,dont one cuddle,negative,0,1,0
54a62c239a,hate,negative,0,1,0
ebc8565a98,sorry,negative,0,1,0
cf888f0df3,dying,negative,0,1,0
0456aab9bb,qood morninq,neutral,0,0,1
85b2dbf969,writing english original writing storyyyyy listening little respect erasure aaaaaah,neutral,0,0,1
30dd327860,needs followers,neutral,0,0,1
4c8d61cfd0,stupid job,negative,0,1,0
ef200df027,little wormy labyrinth sadly passed away today ok hes still around happy ghost form,neutral,0,0,1
bd0fa6cebd,pants idea could new attempt worldwide attract business back airlines,neutral,0,0,1
2c80b2043e,good,positive,1,0,0
1ecbc820d1,popular,positive,1,0,0
02e569bee0,dosent want,negative,0,1,0
f6f3b8b7a4,voice great,positive,1,0,0
41f4eb92b9,wish birthday massacre would come australia think said theyre thinking tho,neutral,0,0,1
7a341d71fe,hoping go red lobster weekend,neutral,0,0,1
0ddd346323,lucky,positive,1,0,0
38a6cb940a,sure hope,positive,1,0,0
a0f446e1bf,congrats,positive,1,0,0
db0db7f325,passed away,negative,0,1,0
123fa2ef14,amazing people,positive,1,0,0
8ebbcfcfd1,cool,positive,1,0,0
47c5298bb9,rice crusty bread chili aawww,neutral,0,0,1
38c25280f1,like minds evening dear,neutral,0,0,1
f83634c7f2,come save packing please,neutral,0,0,1
301f7824f5,yes love tea,positive,1,0,0
715e081e22,mouth sure,positive,1,0,0
5459ddc56e,finally 1 hour history 300 pm went highschool 800 make homework friend,neutral,0,0,1
e8f99c2de0,thanks,positive,1,0,0
b53d8f2b09,dont entertain,negative,0,1,0
71dddc0dff,kill,negative,0,1,0
ca57a8830c,electronic keys stopped working keyhole,negative,0,1,0
0f0a1d8c75,good,positive,1,0,0
187745f502,poor tony,negative,0,1,0
a78ef3e0d0,goodmorning,positive,1,0,0
5010f92b03,dont really feel like,negative,0,1,0
1a88179ebb,love mine happy motherã£â¯ã¢â¿ã¢â½s day mom john taylor much love,positive,1,0,0
625feab260,saw black snake garden went back picture gone,neutral,0,0,1
45b0430eb9,best,positive,1,0,0
86462cc997,waterfront anymore,negative,0,1,0
b499204c32,loves mum much happy mothers day wonderful mothers,positive,1,0,0
60d0bb5840,feeling like poop,negative,0,1,0
a52203dd88,excited,positive,1,0,0
e8770f1c78,cry,negative,0,1,0
4016e4cf72,discovered sharing g reader didnt even know sigh im g reader newb,neutral,0,0,1
4dc7327dd8,chilled tonite cannot spew venom write funny seems like 2 styles,neutral,0,0,1
f5c5fbc40b,u please pray 4 lord knows need,neutral,0,0,1
124e448e00,aaaaaw want live usa,neutral,0,0,1
641db1b766,morning tweeple,positive,1,0,0
7286b251ca,hey didnt get,neutral,0,0,1
4a704b77f2,name,positive,1,0,0
d046aa63bc,makes day much better rough one mention love new photo,neutral,0,0,1
8a4740ee53,dont want sit home,negative,0,1,0
d66f920dbd,wishing,positive,1,0,0
64f91449b7,concert tonight chackin coming tomorrow,neutral,0,0,1
53dc5649da,happened thought coming back today,neutral,0,0,1
f2f7763cfd,dammit,negative,0,1,0
2abfe0decb,lol,positive,1,0,0
7a7228dc2e,still jealous,negative,0,1,0
754ebd84b4,forever 21 ethan couldnt,negative,0,1,0
fba4c01756,sad,negative,0,1,0
888304834,easy,negative,0,1,0
88d8e96213,wow beautiful pictur,positive,1,0,0
38b762e325,looks good,positive,1,0,0
94e82d1574,people pencils sharp sharpened pencil philosophy,neutral,0,0,1
c10f52f160,go home im usually mr positive one daze well 15 mins tomorrow,neutral,0,0,1
7e66ca1a42,always lee lets go paris,neutral,0,0,1
697887b4a1,nice,positive,1,0,0
1a1c392802,lots fun,positive,1,0,0
95b9338e05,bouncing rush makes feel nauseous,negative,0,1,0
b0b24ed515,lovely day,positive,1,0,0
d31f708485,playing singstar without fave duetter,negative,0,1,0
200f31449b,like,positive,1,0,0
3aae3dab5c,thats weird,negative,0,1,0
8415e9b138,im good daughter,positive,1,0,0
7a4a97fba9,thats cool,negative,0,1,0
e3a441b9eb,alwas helps,positive,1,0,0
32ffcb07c4,lacking,negative,0,1,0
0ef15a1349,cool,positive,1,0,0
2a98bd4240,good,positive,1,0,0
13dcb0f346,think honeymoon good life either honey moon joseph arthur,neutral,0,0,1
3c8e8d1940,swollen,negative,0,1,0
a33b610db4,hours ago came realised went buy something online,neutral,0,0,1
1f42d08f3e,oh referring lil exchange lj regards twitter archive postings,neutral,0,0,1
02e6423e39,dont act like u dont know,negative,0,1,0
9c2b1313af,best,positive,1,0,0
51c2d21362,im scared,negative,0,1,0
16370c0a2e,missing,negative,0,1,0
edeeaa9756,mean,negative,0,1,0
feec8aa27b,good,negative,0,1,0
8542ba9b94,back soon need run shops cut grass,neutral,0,0,1
6912e77231,im plan transform bedroom today random,neutral,0,0,1
e6c988afb8,missing,negative,0,1,0
9652c18d7d,thats another sponsor,neutral,0,0,1
df9882c24d,stuck,negative,0,1,0
22a8a4639e,sad,negative,0,1,0
ee9df322d1,sorr,negative,0,1,0
d9107173c4,home alone hw,neutral,0,0,1
7082999a93,live poverty,negative,0,1,0
cf29e364fe,going well,negative,0,1,0
ea567e664a,uploading bamboozle pictures facebook,neutral,0,0,1
912bbdea65,congratulations,positive,1,0,0
060d8bb5d5,miss,negative,0,1,0
a07b1d9eea,woke upi wanna stay bed,neutral,0,0,1
18f60b8879,wack,negative,0,1,0
6abd11b766,would great vips acts id enjoy seeing noooo,neutral,0,0,1
faaf5f743d,wish could make hate commute sometimes,neutral,0,0,1
7311789bcc,hopefully make good tips,positive,1,0,0
726e099885,wasnt chance,negative,0,1,0
56d742e6bc,hates,negative,0,1,0
65ffd159b2,thanks support,positive,1,0,0
0b64c5977e,theres really android twitter app tweeties calibre,neutral,0,0,1
151bba80ca,lovely,positive,1,0,0
0ec5989a18,nyappy mothers day moms,positive,1,0,0
2f3ff51870,yeah im gonna take ur picture ipod baby,neutral,0,0,1
c2fc42a9ff,traumatizing,negative,0,1,0
09c0bef389,lol herewish way microsize everythinglol,neutral,0,0,1
72cfb17265,fail,negative,0,1,0
cbbe4f2dd4,glad,positive,1,0,0
9856eea986,dinner evening playing cards already packed ready head home tomorrow go home,neutral,0,0,1
4f6c17bae7,im allergic cats tonsils get swollen hurt dooo,negative,0,1,0
fa1385e537,tomorrow tough,negative,0,1,0
b41f647910,miss,negative,0,1,0
74e92f4188,im glad,positive,1,0,0
4e6eb888c1,thanks,positive,1,0,0
315d2392c9,hope,positive,1,0,0
1baeebaf86,well,positive,1,0,0
216e541532,nah jkin hes hot bored,neutral,0,0,1
f383ad9856,ahhh im sqeaky clean fresh even though im wearing dirty clothes love two half men amazing,positive,1,0,0
2461db68e0,yes read many times,neutral,0,0,1
9ec17fe80c,cuz play grown twitter,neutral,0,0,1
034f2e2104,living ignorance,negative,0,1,0
f09816a243,nope telling want cameo creams,neutral,0,0,1
6a9023f1af,awwww gonna miss,negative,0,1,0
